Team,Day,AJ Points,Best Votes,Final Point
1,19 April 2023,16,2,18
2,25 April 2023,21.75,2,23.75
3,18 April 2023,16.75,2,18.75
4,3 May 2023,21.5,5,26.5
5,2 May 2023,14,2,16
6,18 April 2023,15.75,5,20.75
7,26 April 2023,20.25,3,23.25
8,19 April 2023,15.25,2,17.25
9,26 April 2023,18.5,3,21.5
10,18 April 2023,16.25,5,21.25
11,2 May 2023,19,2,21
12,2 May 2023,16.75,2,18.75
13,2 May 2023,21,3,24
14,19 April 2023,19.75,3,22.75
15,19 April 2023,18.75,2,20.75
16,3 May 2023,21.5,2,23.5
17,25 April 2023,7,2,9
18,3 May 2023,20,3,23
19,18 April 2023,17,3,20
20,18 April 2023,16.5,3,19.5
21,3 May 2023,17.5,2,19.5
22,26 April 2023,25,2,27
23,26 April 2023,22.25,2,24.25
24,18 April 2023,20.5,5,25.5
25,25 April 2023,19.5,2,21.5
26,19 April 2023,21.5,5,26.5
27,2 May 2023,23.5,2,25.5
28,25 April 2023,19.25,3,22.25
29,18 April 2023,19,2,21
30,3 May 2023,17,2,19
31,26 April 2023,17.5,5,22.5
32,25 April 2023,20,2,22
33,25 April 2023,19,2,21
34,3 May 2023,22,3,25
35,19 April 2023,19,2,21
36,2 May 2023,23.5,5,28.5
37,19 April 2023,18,3,21
38,26 April 2023,25,5,30
39,3 May 2023,25,3,28
40,26 April 2023,17.25,3,20.25
41,2 May 2023,22,3,25
42,25 April 2023,18,3,21
