Team,Pitch Start,Pitch End,Q&A Start,Q&A End,Break Start,Break End,Day
37,14:00,14:15,14:15,14:20,14:20,14:25,18 April 2023
36,14:25,14:40,14:40,14:45,14:45,14:50,18 April 2023
8,14:50,15:05,15:05,15:10,15:10,15:15,18 April 2023
40,15:15,15:30,15:30,15:35,15:35,15:40,18 April 2023
29,15:40,15:55,15:55,16:00,16:00,16:05,18 April 2023
12,16:05,16:20,16:20,16:25,16:25,16:30,18 April 2023
20,16:30,16:45,16:45,16:50,16:50,16:55,18 April 2023
24,14:00,14:15,14:15,14:20,14:20,14:25,19 April 2023
26,14:25,14:40,14:40,14:45,14:45,14:50,19 April 2023
13,14:50,15:05,15:05,15:10,15:10,15:15,19 April 2023
39,15:15,15:30,15:30,15:35,15:35,15:40,19 April 2023
5,15:40,15:55,15:55,16:00,16:00,16:05,19 April 2023
34,16:05,16:20,16:20,16:25,16:25,16:30,19 April 2023
27,16:30,16:45,16:45,16:50,16:50,16:55,19 April 2023
33,14:00,14:15,14:15,14:20,14:20,14:25,25 April 2023
7,14:25,14:40,14:40,14:45,14:45,14:50,25 April 2023
9,14:50,15:05,15:05,15:10,15:10,15:15,25 April 2023
30,15:15,15:30,15:30,15:35,15:35,15:40,25 April 2023
22,15:40,15:55,15:55,16:00,16:00,16:05,25 April 2023
2,16:05,16:20,16:20,16:25,16:25,16:30,25 April 2023
32,16:30,16:45,16:45,16:50,16:50,16:55,25 April 2023
25,14:00,14:15,14:15,14:20,14:20,14:25,26 April 2023
28,14:25,14:40,14:40,14:45,14:45,14:50,26 April 2023
42,14:50,15:05,15:05,15:10,15:10,15:15,26 April 2023
38,15:15,15:30,15:30,15:35,15:35,15:40,26 April 2023
23,15:40,15:55,15:55,16:00,16:00,16:05,26 April 2023
15,16:05,16:20,16:20,16:25,16:25,16:30,26 April 2023
35,16:30,16:45,16:45,16:50,16:50,16:55,26 April 2023
6,14:00,14:15,14:15,14:20,14:20,14:25,2 May 2023
10,14:25,14:40,14:40,14:45,14:45,14:50,2 May 2023
16,14:50,15:05,15:05,15:10,15:10,15:15,2 May 2023
18,15:15,15:30,15:30,15:35,15:35,15:40,2 May 2023
4,15:40,15:55,15:55,16:00,16:00,16:05,2 May 2023
1,16:05,16:20,16:20,16:25,16:25,16:30,2 May 2023
41,16:30,16:45,16:45,16:50,16:50,16:55,2 May 2023
3,14:00,14:15,14:15,14:20,14:20,14:25,3 May 2023
11,14:25,14:40,14:40,14:45,14:45,14:50,3 May 2023
14,14:50,15:05,15:05,15:10,15:10,15:15,3 May 2023
19,15:15,15:30,15:30,15:35,15:35,15:40,3 May 2023
17,15:40,15:55,15:55,16:00,16:00,16:05,3 May 2023
21,16:05,16:20,16:20,16:25,16:25,16:30,3 May 2023
31,16:30,16:45,16:45,16:50,16:50,16:55,3 May 2023
